ID,name,ItemFolder,NoHItemFolder,itemPic,itemBack,itemType,DisplayType,ShowInBackpack,Rarity,Race,MaxLimit,ActionFunc,ItemUpperCap,ItemDesc,ItemEffect,,,,,,,,,,,,,,
ID,名稱\n 參照Localization_ItemName,道具資料夾,NoH道具資料夾,道具圖片,道具背景,道具類型\n ItemType,顯示區域\n None: 不顯示\n InGet: 會顯示獲得，背包不顯示\n ExpInfo: 會顯示在探索框中\n Show: 都顯示\n (以上可混合),在背包中會顯示在哪個Group\n Consumables (消耗品)\n H_Consumables (H消耗品)\n Important (重要)\n Ingredient (食材庫),"稀有度\n 1,2,3,4,5",未定,數量上限\n (主要給屬性值的時候用)\n -1表示無上限,使用效果\n Food請填List<ItemData>\n Consumable請填List<ItemData>\n https://docs.google.com/spreadsheets/d/1GJRJJ8HTKIQEIBwhY3DY54uuSjRZznID-11FPGrB7yo/edit#gid=658374352,,道具敘述文\n 參照Localization_ItemDesc,道具效果文\n 參照Localization_ItemEffect,,,,,,,,,,,,,,
Item_Attr_EXP,經驗值,,,item_Ingredients_01,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,#N/A,#N/A,1,,,,,,,,,,,,,
Item_Attr_DEX,敏捷,,,item_Ingredients_02,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,{flag=Flag_AVG_Heroine_Name}能夠更靈巧迅捷的活動了！,#N/A,2,,,,,,,,,,,,,
Item_Attr_DEX_MAX,敏捷上限,,,item_Ingredients_02,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,#N/A,#N/A,2,,,,,,,,,,,,,
Item_Attr_STR,力量,,,item_Ingredients_03,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,{flag=Flag_AVG_Heroine_Name}能夠更好的發揮自己的力量！,#N/A,3,,,,,,,,,,,,,
Item_Attr_STR_MAX,力量上限,,,item_Ingredients_03,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,#N/A,#N/A,3,,,,,,,,,,,,,
Item_Attr_INT,智力,,,item_Ingredients_04,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,{flag=Flag_AVG_Heroine_Name}能夠更嫻熟的運用能量並單獨做出判斷...大概。,#N/A,4,,,,,,,,,,,,,
Item_Attr_INT_MAX,智力上限,,,item_Ingredients_04,item_bg_01,Attribute,ExpInfo,,1,Attribute,-1,,,#N/A,#N/A,4,,,,,,,,,,,,,
Item_Attr_Favorability,好感度,,,item_Ingredients_06,item_bg_01,Attribute,ExpInfo,,1,Attribute,9999999,,,#N/A,#N/A,5,,,,,,,,,,,,,
Item_Attr_Emotion,心情,,,item_Ingredients_01,item_bg_01,Attribute,ExpInfo,,1,Attribute,100,,,#N/A,#N/A,6,,,,,,,,,,,,,
Item_Attr_ActionPoint,行動值,,,item_Ingredients_03,item_bg_01,Attribute,None,,1,Attribute,9,,,#N/A,#N/A,7,,,,,,,,,,,,,
Item_Gold,銀河幣,1_General,,Item_Gold,item_bg_02,Important,InGet:ExpInfo,,2,Item_Gold,-1,,,銀河聯邦發行的通用貨幣，具有強大的購買力。,可在「寢子商店」中購買道具,8,,,,,,,,,,,,,
Item_Attr_Strength,體力,,,item_Ingredients_06,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,9,,,,,,,,,,,,,
Item_Attr_FoodEnergy,食物能量,,,item_Ingredients_01,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,10,,,,,,,,,,,,,
Item_Attr_MaxFoodEnergy,食物能量上限,,,item_Ingredients_01,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,10,,,,,,,,,,,,,
Item_Attr_HStrength,波奇Q體力,,,item_Ingredients_03,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,11,,,,,,,,,,,,,
Item_Attr_CookEXP,下廚經驗,,,item_Ingredients_05,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,12,,,,,,,,,,,,,
Item_Attr_ExploreSupportMaxCount,探索支援次數,,,item_Ingredients_05,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,12,,,,,,,,,,,,,
Item_Attr_Mouth,M經驗,,,item_Ingredients_05,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,12,,,,,,,,,,,,,
Item_Attr_Breast,B經驗,,,item_Ingredients_06,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,13,,,,,,,,,,,,,
Item_Attr_Clitoris,C經驗,,,item_Ingredients_01,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,14,,,,,,,,,,,,,
Item_Attr_Vagina,V經驗,,,item_Ingredients_02,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,15,,,,,,,,,,,,,
Item_Attr_Anal,A經驗,,,item_Ingredients_03,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,16,,,,,,,,,,,,,
Item_Attr_Lubricating,潤滑,,,item_Ingredients_04,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,17,,,,,,,,,,,,,
Item_Attr_Mouth_Defalut,H模式起始M快感LV,,,item_Ingredients_05,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,12,,,,,,,,,,,,,
Item_Attr_Breast_Defalut,H模式起始B快感LV,,,item_Ingredients_06,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,13,,,,,,,,,,,,,
Item_Attr_Clitoris_Defalut,H模式起始C快感LV,,,item_Ingredients_01,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,14,,,,,,,,,,,,,
Item_Attr_Vagina_Defalut,H模式起始V快感LV,,,item_Ingredients_02,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,15,,,,,,,,,,,,,
Item_Attr_Anal_Defalut,H模式起始A快感LV,,,item_Ingredients_03,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,16,,,,,,,,,,,,,
Item_Attr_Lubricating_Defalut,H模式起始潤滑LV,,,item_Ingredients_04,item_bg_01,Attribute,None,,1,Attribute,-1,,,#N/A,#N/A,17,,,,,,,,,,,,,
Item_Ingre_BasicRace_Veggies,蔬食,5_CookingRace,,Item_Ingre_BR_1,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:1:1,,#N/A,★ 強化效果：敏捷提升 1%,19,,,,,,,,,,,,,
Item_Ingre_BasicRace_Meat,肉,5_CookingRace,,Item_Ingre_BR_2,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:1:1,,#N/A,★ 強化效果：力量提升 1%,20,,,,,,,,,,,,,
Item_Ingre_BasicRace_Insects,昆蟲,5_CookingRace,,Item_Ingre_BR_3,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:1:1,,#N/A,★ 強化效果：敏捷提升 1%,21,,,,,,,,,,,,,
Item_Ingre_BasicRace_Mollusk,軟體,5_CookingRace,,Item_Ingre_BR_4,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:INT_Increase:ByExplore:1:1,,#N/A,★ 強化效果：智力提升 1%,22,,,,,,,,,,,,,
Item_Ingre_BasicRace_Fungus,菌類,5_CookingRace,,Item_Ingre_BR_5,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:1:1,,#N/A,★ 強化效果：智力提升 1%,23,,,,,,,,,,,,,
Item_Ingre_BasicRace_Other,其他,5_CookingRace,,Item_Ingre_BR_6,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:1:1,,#N/A,★ 強化效果：力量提升 1%,24,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Sweet,甜,5_CookingRace,,Item_Ingre_SR_1,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,GetItem:Item_Attr_Emotion:5,,#N/A,★ 心情 +5,25,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Salty,鹹,5_CookingRace,,Item_Ingre_SR_2,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:1:1,,#N/A,★ 強化效果：力量提升 1%,26,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Light,清淡,5_CookingRace,,Item_Ingre_SR_3,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:INT_Increase:ByExplore:1:1,,#N/A,★ 強化效果：智力提升 1%,27,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Fresh,鮮,5_CookingRace,,Item_Ingre_SR_4,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:2:1,,#N/A,★ 強化效果：敏捷提升 2%,28,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Sour,酸,5_CookingRace,,Item_Ingre_SR_5,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:1:1,,#N/A,★ 強化效果：敏捷提升 1%,29,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Spicy,辣,5_CookingRace,,Item_Ingre_SR_6,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:1:1,,#N/A,★ 強化效果：力量提升 1%,30,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Bitter,苦,5_CookingRace,,Item_Ingre_SR_7,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:INT_Increase:ByExplore:1:1,,#N/A,★ 強化效果：智力提升 1%,31,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Spices,香料,5_CookingRace,,Item_Ingre_SR_8,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:2:1;GetItem:Item_Attr_Emotion:5,,#N/A,★ 強化效果：力量提升 2% / 心情 +5,32,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Heavy,重口,5_CookingRace,,Item_Ingre_SR_9,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:STR_Increase:ByExplore:2:1,,#N/A,★ 強化效果：力量提升 2%,33,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Low_Temperature,低溫,5_CookingRace,,Item_Ingre_SR_10,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:INT_Increase:ByExplore:2:1,,#N/A,★ 強化效果：智力提升 2%,34,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Burning,灼熱,5_CookingRace,,Item_Ingre_SR_11,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:2:1,,#N/A,★ 強化效果：敏捷提升 2%,35,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Crisp,脆,5_CookingRace,,Item_Ingre_SR_12,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:1:1,,#N/A,★ 強化效果：敏捷提升 1%,36,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Soft,軟,5_CookingRace,,Item_Ingre_SR_13,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:INT_Increase:ByExplore:1:1,,#N/A,★ 強化效果：智力提升 1%,37,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Gooey,黏稠,5_CookingRace,,Item_Ingre_SR_14,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:1:1,,#N/A,★ 強化效果：敏捷提升 1%,38,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Plain,樸素,5_CookingRace,,Item_Ingre_SR_15,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:MaxHP_Add:ByExplore:200:1;GetItem:Item_Attr_FoodEnergy:200,,#N/A,★ 強化效果：食物能量上限 +200,39,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Specialty,特產,5_CookingRace,,Item_Ingre_SR_16,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:INT_Increase:ByExplore:2:1;GetItem:Item_Attr_Emotion:5,,#N/A,★ 強化效果：智力提升 2% / 心情 +5,40,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Luxury,高級,5_CookingRace,,Item_Ingre_SR_17,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:1:1;AddBuff:STR_Increase:ByExplore:1:1;AddBuff:INT_Increase:ByExplore:1:1,,#N/A,★ 強化效果：敏捷提升 1% / 力量提升 1% / 智力提升 1%,41,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Legend,傳說,5_CookingRace,,Item_Ingre_SR_18,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:DEX_Increase:ByExplore:2:1;AddBuff:STR_Increase:ByExplore:2:1;AddBuff:INT_Increase:ByExplore:2:1,,#N/A,★ 強化效果：敏捷提升 2% / 力量提升 2% / 智力提升 2%,42,,,,,,,,,,,,,
Item_Ingre_SpecialRace_Radioactive,放射性,5_CookingRace,,Item_Ingre_SR_19,item_bg_01,CookingRace,None,CookingRace,1,CookingRace,-1,AddBuff:MaxHP_Add:ByExplore:10000:1;GetItem:Item_Attr_FoodEnergy:10000,,#N/A,★ 強化效果：食物能量上限 +10000,43,,,,,,,,,,,,,
